Factura_ID,Cliente,Fecha_Emision,Monto,Días_Transcurridos
F-001,Cliente_5,2025-04-05,294.5,36
F-002,Cliente_18,2025-01-02,8992.63,129
F-003,Cliente_7,2025-04-13,2634.28,28
F-004,Cliente_4,2025-03-19,5992.56,53
F-005,Cliente_19,2024-11-22,2838.93,170
F-006,Cliente_21,2025-01-03,3022.94,128
F-007,Cliente_7,2025-01-21,4195.62,110
F-008,Cliente_10,2024-11-28,3260.55,164
F-009,Cliente_16,2024-12-02,9662.58,160
F-010,Cliente_21,2024-12-29,3812.57,133
F-011,Cliente_24,2025-03-29,9894.25,43
F-012,Cliente_3,2025-04-28,2172.73,13
F-013,Cliente_23,2024-11-20,229.0,172
F-014,Cliente_3,2024-11-12,956.25,180
F-015,Cliente_3,2025-01-11,5283.68,120
F-016,Cliente_5,2025-05-03,5632.4,8
F-017,Cliente_21,2025-03-18,9167.7,54
F-018,Cliente_5,2024-11-25,5214.83,167
F-019,Cliente_12,2025-04-17,8383.75,24
F-020,Cliente_16,2025-03-16,6393.86,56
F-021,Cliente_17,2025-01-04,1188.34,127
F-022,Cliente_22,2025-01-16,4103.01,115
F-023,Cliente_25,2025-03-23,3207.63,49
F-024,Cliente_17,2025-02-23,6524.27,77
F-025,Cliente_6,2024-12-04,1976.67,158
F-026,Cliente_1,2025-01-07,6672.9,124
F-027,Cliente_12,2025-05-01,1451.47,10
F-028,Cliente_24,2025-02-06,2903.35,94
F-029,Cliente_2,2025-04-15,9829.51,26
F-030,Cliente_22,2025-04-15,6287.36,26
F-031,Cliente_2,2024-12-19,7449.16,143
F-032,Cliente_12,2025-01-28,8853.47,103
F-033,Cliente_24,2025-02-19,1792.39,81
F-034,Cliente_9,2025-02-07,9168.6,93
F-035,Cliente_23,2024-11-30,2640.64,162
F-036,Cliente_8,2025-01-05,2949.5,126
F-037,Cliente_12,2025-02-15,4324.34,85
F-038,Cliente_2,2025-03-31,1205.44,41
F-039,Cliente_14,2025-02-28,6853.41,72
F-040,Cliente_22,2025-02-22,9627.12,78
F-041,Cliente_17,2025-01-01,9371.72,130
F-042,Cliente_17,2025-04-18,2135.6,23
F-043,Cliente_22,2024-12-20,5943.05,142
F-044,Cliente_7,2025-01-19,9713.74,112
F-045,Cliente_17,2025-01-10,4268.28,121
F-046,Cliente_18,2025-03-15,4071.03,57
F-047,Cliente_7,2025-03-14,8213.81,58
F-048,Cliente_8,2024-12-21,9111.69,141
F-049,Cliente_15,2025-02-18,489.62,82
F-050,Cliente_13,2024-11-23,5163.6,169
F-051,Cliente_11,2025-02-11,6696.87,89
F-052,Cliente_24,2025-01-08,7526.0,123
F-053,Cliente_9,2024-11-26,7534.83,166
F-054,Cliente_2,2025-02-12,7138.68,88
F-055,Cliente_9,2025-04-12,5001.14,29
F-056,Cliente_6,2025-02-11,1766.81,89
F-057,Cliente_12,2025-02-25,1901.35,75
F-058,Cliente_18,2024-12-10,1286.08,152
F-059,Cliente_13,2025-01-09,8976.26,122
F-060,Cliente_18,2025-02-24,6282.21,76
F-061,Cliente_21,2025-03-28,8965.69,44
F-062,Cliente_8,2025-04-18,1441.65,23
F-063,Cliente_18,2024-12-02,2835.42,160
F-064,Cliente_8,2025-04-05,658.67,36
F-065,Cliente_20,2025-01-18,3301.59,113
F-066,Cliente_9,2025-01-03,2549.99,128
F-067,Cliente_10,2025-04-05,6588.94,36
F-068,Cliente_16,2025-01-29,609.11,102
F-069,Cliente_11,2025-01-20,4119.61,111
F-070,Cliente_10,2025-03-02,8661.56,70
F-071,Cliente_17,2025-02-04,2787.85,96
F-072,Cliente_11,2025-02-24,4215.9,76
F-073,Cliente_4,2025-04-28,8092.52,13
F-074,Cliente_7,2025-03-20,3731.22,52
F-075,Cliente_4,2025-04-04,5380.76,37
F-076,Cliente_17,2025-03-04,2418.1,68
F-077,Cliente_23,2025-03-14,6043.52,58
F-078,Cliente_2,2025-01-14,3004.05,117
F-079,Cliente_9,2025-02-03,3708.1,97
F-080,Cliente_15,2024-12-04,459.44,158
F-081,Cliente_22,2025-04-17,7189.93,24
F-082,Cliente_24,2024-12-29,3087.28,133
F-083,Cliente_2,2025-03-01,2790.01,71
F-084,Cliente_6,2025-01-17,2514.5,114
F-085,Cliente_22,2025-04-24,4998.86,17
F-086,Cliente_18,2024-11-16,5336.27,176
F-087,Cliente_7,2025-02-08,3854.29,92
F-088,Cliente_16,2025-04-13,5869.96,28
F-089,Cliente_20,2024-12-19,9273.49,143
F-090,Cliente_23,2025-04-06,2235.95,35
F-091,Cliente_10,2024-12-01,7763.32,161
F-092,Cliente_25,2025-01-29,1829.72,102
F-093,Cliente_24,2025-05-08,3533.87,3
F-094,Cliente_18,2025-01-07,1697.5,124
F-095,Cliente_24,2025-02-26,5947.69,74
F-096,Cliente_14,2024-11-30,6634.96,162
F-097,Cliente_21,2024-11-26,2412.64,166
F-098,Cliente_12,2024-11-16,9855.28,176
F-099,Cliente_21,2025-03-03,787.23,69
F-100,Cliente_10,2025-01-03,283.35,128
F-101,Cliente_2,2025-04-18,6135.12,23
F-102,Cliente_1,2025-03-19,4957.14,53
F-103,Cliente_7,2024-11-25,1333.51,167
F-104,Cliente_5,2024-12-28,3708.13,134
F-105,Cliente_1,2024-12-22,8944.85,140
F-106,Cliente_14,2025-02-06,7893.94,94
F-107,Cliente_9,2025-05-08,2473.82,3
F-108,Cliente_25,2025-05-04,5024.51,7
F-109,Cliente_20,2024-11-17,5510.33,175
F-110,Cliente_3,2024-12-27,9973.77,135
F-111,Cliente_18,2025-03-31,7077.48,41
F-112,Cliente_4,2024-11-13,8604.39,179
F-113,Cliente_21,2024-11-24,9157.75,168
F-114,Cliente_20,2024-11-20,7416.04,172
F-115,Cliente_19,2024-11-13,6557.19,179
F-116,Cliente_5,2024-12-31,7496.21,131
F-117,Cliente_4,2025-03-02,9168.55,70
F-118,Cliente_12,2024-12-02,8369.7,160
F-119,Cliente_14,2024-12-08,9730.61,154
F-120,Cliente_15,2025-04-26,2738.97,15
